"Story","Title","Result","Date","Stability","Duration (s)"
"Users tags test","Provide a 401 status code when incorrect HTTP method is used to access resource","SUCCESS","2023-01-10T23:19:35.674Z[Europe/London]","0.0","0.37"
"Users tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-01-10T23:19:36.049Z[Europe/London]","0.0","0.38"
